asset_id,timestamp,vibration_mm_s,bearing_temp_c,discharge_pressure_bar,suction_pressure_bar,rpm,oil_temp_c,failure,severity_tier
COMP-01,2026-01-26 00:00:00,3.067,64.18,56.6,18.06,3043.0,61.6,0,severe
COMP-01,2026-01-26 01:00:00,2.77,61.33,55.41,17.11,2980.0,60.37,0,severe
COMP-01,2026-01-26 02:00:00,3.043,63.99,54.78,18.3,3015.0,61.38,0,severe
COMP-01,2026-01-26 03:00:00,2.99,63.27,54.99,19.33,2956.0,60.46,0,severe
COMP-01,2026-01-26 04:00:00,3.34,62.01,53.83,17.42,2984.0,58.88,0,severe
COMP-01,2026-01-26 05:00:00,2.969,66.83,53.3,16.99,3004.0,59.4,0,severe
COMP-01,2026-01-26 06:00:00,2.842,65.51,56.08,18.92,3009.0,59.36,0,severe
COMP-01,2026-01-26 07:00:00,3.574,66.59,54.61,19.41,3052.0,61.75,0,severe
COMP-01,2026-01-26 08:00:00,2.392,63.94,55.49,17.0,2987.0,61.92,0,severe
COMP-01,2026-01-26 09:00:00,3.336,64.86,52.51,17.93,3015.0,61.22,0,severe
COMP-01,2026-01-26 10:00:00,3.234,68.19,54.53,18.39,3014.0,60.09,0,severe
COMP-01,2026-01-26 11:00:00,2.67,64.99,53.27,17.79,2985.0,56.91,0,severe
COMP-01,2026-01-26 12:00:00,3.339,66.62,55.73,16.6,3024.0,61.24,0,severe
COMP-01,2026-01-26 13:00:00,3.112,63.77,56.49,16.9,3017.0,61.17,0,severe
COMP-01,2026-01-26 14:00:00,2.884,66.43,57.19,16.99,2993.0,60.43,0,severe
COMP-01,2026-01-26 15:00:00,2.652,63.9,54.06,17.17,3005.0,60.72,0,severe
COMP-01,2026-01-26 16:00:00,3.17,61.21,53.31,18.07,2976.0,58.78,0,severe
COMP-01,2026-01-26 17:00:00,2.789,64.98,54.37,18.88,2978.0,59.48,0,severe
COMP-01,2026-01-26 18:00:00,2.587,64.06,53.95,16.91,2999.0,58.77,0,severe
COMP-01,2026-01-26 19:00:00,2.894,61.75,55.65,17.37,3019.0,59.77,0,severe
COMP-01,2026-01-26 20:00:00,2.862,65.38,52.9,17.11,2992.0,61.32,0,severe
COMP-01,2026-01-26 21:00:00,3.02,63.21,52.37,18.23,2985.0,60.66,0,severe
COMP-01,2026-01-26 22:00:00,2.947,71.19,54.48,17.34,2994.0,58.43,0,severe
COMP-01,2026-01-26 23:00:00,3.36,62.07,56.09,17.19,3021.0,62.75,0,severe
COMP-01,2026-01-27 00:00:00,3.21,62.57,53.46,16.72,2966.0,60.26,0,severe
COMP-01,2026-01-27 01:00:00,2.949,66.74,56.27,19.09,3022.0,58.99,0,severe
COMP-01,2026-01-27 02:00:00,2.728,64.73,55.55,19.75,3013.0,59.55,0,severe
COMP-01,2026-01-27 03:00:00,3.357,66.7,57.32,18.07,2966.0,59.17,0,severe
COMP-01,2026-01-27 04:00:00,3.236,65.76,53.8,19.19,2994.0,60.34,0,severe
COMP-01,2026-01-27 05:00:00,3.797,63.84,52.59,17.55,3016.0,58.02,0,severe
COMP-01,2026-01-27 06:00:00,3.079,62.24,55.9,18.0,2952.0,60.44,0,severe
COMP-01,2026-01-27 07:00:00,3.493,67.14,55.42,18.52,2974.0,61.26,0,severe
COMP-01,2026-01-27 08:00:00,3.138,62.42,55.3,17.4,2962.0,60.99,0,severe
COMP-01,2026-01-27 09:00:00,3.026,66.12,53.43,17.87,2986.0,60.4,0,severe
COMP-01,2026-01-27 10:00:00,2.547,66.84,56.16,17.77,3026.0,60.86,0,severe
COMP-01,2026-01-27 11:00:00,3.216,64.75,54.05,18.35,3020.0,60.59,0,severe
COMP-01,2026-01-27 12:00:00,2.747,64.39,55.3,18.05,2987.0,61.57,0,severe
COMP-01,2026-01-27 13:00:00,2.846,63.03,54.31,17.42,3026.0,59.64,0,severe
COMP-01,2026-01-27 14:00:00,2.987,65.93,55.53,17.76,3017.0,58.63,0,severe
COMP-01,2026-01-27 15:00:00,2.917,58.91,53.21,18.89,3032.0,60.55,0,severe
COMP-01,2026-01-27 16:00:00,2.531,66.43,55.75,18.44,2998.0,61.63,0,severe
COMP-01,2026-01-27 17:00:00,2.761,65.24,55.99,18.37,3013.0,59.41,0,severe
COMP-01,2026-01-27 18:00:00,3.279,64.55,55.17,19.8,3084.0,62.4,0,severe
COMP-01,2026-01-27 19:00:00,3.203,65.48,57.47,17.1,2992.0,60.57,0,severe
COMP-01,2026-01-27 20:00:00,3.21,62.25,55.31,18.57,2998.0,61.39,0,severe
COMP-01,2026-01-27 21:00:00,3.052,60.17,56.38,18.04,2996.0,58.26,0,severe
COMP-01,2026-01-27 22:00:00,3.199,65.94,55.14,18.28,2998.0,61.19,0,severe
COMP-01,2026-01-27 23:00:00,3.072,67.63,56.24,18.15,3014.0,60.7,0,severe
COMP-01,2026-01-28 00:00:00,2.95,61.52,52.7,17.44,3001.0,63.17,0,severe
COMP-01,2026-01-28 01:00:00,3.349,62.9,55.05,17.17,2966.0,60.77,0,severe
COMP-01,2026-01-28 02:00:00,2.926,66.5,53.31,18.0,3000.0,60.98,0,severe
COMP-01,2026-01-28 03:00:00,2.769,65.72,55.21,17.37,2987.0,58.77,0,severe
COMP-01,2026-01-28 04:00:00,3.364,70.93,55.58,17.7,2957.0,60.48,0,severe
COMP-01,2026-01-28 05:00:00,3.37,67.15,56.21,18.64,3029.0,61.72,0,severe
COMP-01,2026-01-28 06:00:00,2.528,66.67,55.73,17.02,2987.0,59.48,0,severe
COMP-01,2026-01-28 07:00:00,3.191,63.47,54.49,17.85,3010.0,58.93,0,severe
COMP-01,2026-01-28 08:00:00,2.387,66.05,53.87,18.84,2921.0,63.01,0,severe
COMP-01,2026-01-28 09:00:00,3.321,67.99,51.49,17.59,3012.0,59.58,0,severe
COMP-01,2026-01-28 10:00:00,2.72,64.67,55.1,19.18,2992.0,61.36,0,severe
COMP-01,2026-01-28 11:00:00,3.235,64.77,56.71,16.76,2961.0,59.28,0,severe
COMP-01,2026-01-28 12:00:00,2.816,65.28,55.16,19.46,2986.0,59.34,0,severe
COMP-01,2026-01-28 13:00:00,3.1,63.67,54.87,18.01,2983.0,59.82,0,severe
COMP-01,2026-01-28 14:00:00,2.586,65.54,55.21,16.94,3019.0,60.86,0,severe
COMP-01,2026-01-28 15:00:00,2.916,65.49,54.42,18.67,3002.0,61.75,0,severe
COMP-01,2026-01-28 16:00:00,2.982,67.96,55.29,18.34,2962.0,59.16,0,severe
COMP-01,2026-01-28 17:00:00,3.288,64.62,54.39,19.11,3011.0,61.68,0,severe
COMP-01,2026-01-28 18:00:00,3.538,66.35,53.65,16.77,2948.0,60.21,0,severe
COMP-01,2026-01-28 19:00:00,3.174,64.68,54.89,17.12,2972.0,59.74,0,severe
COMP-01,2026-01-28 20:00:00,3.089,66.28,54.85,18.62,3000.0,60.84,0,severe
COMP-01,2026-01-28 21:00:00,2.692,64.5,57.81,20.04,2984.0,62.14,0,severe
COMP-01,2026-01-28 22:00:00,2.574,66.15,53.79,18.46,3030.0,60.77,0,severe
COMP-01,2026-01-28 23:00:00,3.057,66.46,54.76,18.58,3004.0,58.91,0,severe
COMP-01,2026-01-29 00:00:00,3.041,62.87,54.62,17.39,3016.0,60.22,0,severe
COMP-01,2026-01-29 01:00:00,3.182,67.2,54.33,17.85,3017.0,60.84,0,severe
COMP-01,2026-01-29 02:00:00,3.211,64.67,55.77,17.5,2989.0,59.11,0,severe
COMP-01,2026-01-29 03:00:00,3.108,64.06,58.36,18.4,2973.0,60.42,0,severe
COMP-01,2026-01-29 04:00:00,2.56,63.58,54.52,18.74,2999.0,58.92,0,severe
COMP-01,2026-01-29 05:00:00,3.268,65.6,55.77,18.15,3022.0,60.95,0,severe
COMP-01,2026-01-29 06:00:00,2.968,64.99,52.13,18.64,2994.0,62.2,0,severe
COMP-01,2026-01-29 07:00:00,2.713,65.74,54.41,17.98,3015.0,59.88,0,severe
COMP-01,2026-01-29 08:00:00,2.876,65.78,57.33,19.06,2999.0,61.12,0,severe
COMP-01,2026-01-29 09:00:00,2.58,66.22,54.92,17.31,2961.0,61.54,0,severe
COMP-01,2026-01-29 10:00:00,2.897,70.55,55.75,19.13,2963.0,59.36,0,severe
COMP-01,2026-01-29 11:00:00,3.225,65.08,54.07,17.43,3039.0,60.63,0,severe
COMP-01,2026-01-29 12:00:00,2.902,63.53,55.39,18.01,2971.0,61.71,0,severe
COMP-01,2026-01-29 13:00:00,2.742,60.96,57.45,17.04,2984.0,62.46,0,severe
COMP-01,2026-01-29 14:00:00,2.923,62.61,53.26,18.4,3023.0,59.58,0,severe
COMP-01,2026-01-29 15:00:00,3.138,67.47,58.28,18.11,2970.0,58.31,0,severe
COMP-01,2026-01-29 16:00:00,2.595,66.44,52.68,18.59,2983.0,60.88,0,severe
COMP-01,2026-01-29 17:00:00,2.694,62.3,54.27,16.61,2995.0,60.34,0,severe
COMP-01,2026-01-29 18:00:00,3.038,69.93,53.75,18.11,2991.0,60.05,0,severe
COMP-01,2026-01-29 19:00:00,2.625,65.65,54.59,18.32,2976.0,59.22,0,severe
COMP-01,2026-01-29 20:00:00,3.584,65.92,53.73,17.21,2995.0,61.33,0,severe
COMP-01,2026-01-29 21:00:00,2.954,69.49,53.61,18.43,3017.0,59.12,0,severe
COMP-01,2026-01-29 22:00:00,2.728,68.48,53.22,16.16,2997.0,58.99,0,severe
COMP-01,2026-01-29 23:00:00,2.755,66.56,55.97,17.9,2984.0,59.8,0,severe
COMP-01,2026-01-30 00:00:00,2.855,66.66,54.64,19.13,3024.0,61.39,0,severe
COMP-01,2026-01-30 01:00:00,2.829,66.85,54.25,17.89,3043.0,57.97,0,severe
COMP-01,2026-01-30 02:00:00,2.373,64.52,55.42,17.42,3024.0,58.48,0,severe
COMP-01,2026-01-30 03:00:00,3.379,65.57,52.76,17.95,2972.0,58.77,0,severe
COMP-01,2026-01-30 04:00:00,2.995,66.15,55.46,18.08,2973.0,62.97,0,severe
COMP-01,2026-01-30 05:00:00,2.992,64.75,54.86,18.72,3011.0,60.42,0,severe
COMP-01,2026-01-30 06:00:00,3.245,63.07,54.91,18.1,3004.0,58.44,0,severe
COMP-01,2026-01-30 07:00:00,2.684,64.47,55.78,18.61,2969.0,59.8,0,severe
COMP-01,2026-01-30 08:00:00,2.773,63.02,57.47,18.07,3007.0,61.16,0,severe
COMP-01,2026-01-30 09:00:00,3.137,65.13,55.48,17.4,3002.0,63.0,0,severe
COMP-01,2026-01-30 10:00:00,2.981,61.44,54.7,16.88,3037.0,57.69,0,severe
COMP-01,2026-01-30 11:00:00,3.103,65.68,53.23,18.3,2989.0,58.39,0,severe
COMP-01,2026-01-30 12:00:00,2.976,61.74,51.41,16.02,3035.0,59.49,0,severe
COMP-01,2026-01-30 13:00:00,2.928,64.19,55.19,16.59,3036.0,59.55,0,severe
COMP-01,2026-01-30 14:00:00,3.43,66.01,53.11,16.88,2983.0,59.52,0,severe
COMP-01,2026-01-30 15:00:00,3.32,66.58,51.19,18.57,3009.0,59.83,0,severe
COMP-01,2026-01-30 16:00:00,2.25,66.34,54.47,16.81,2995.0,63.04,0,severe
COMP-01,2026-01-30 17:00:00,3.444,65.64,55.36,18.38,2994.0,58.1,0,severe
COMP-01,2026-01-30 18:00:00,3.648,62.76,56.12,17.17,3006.0,60.24,0,severe
COMP-01,2026-01-30 19:00:00,3.37,66.96,56.59,17.88,2980.0,60.84,0,severe
COMP-01,2026-01-30 20:00:00,2.936,62.81,56.31,17.95,2960.0,57.82,0,severe
COMP-01,2026-01-30 21:00:00,2.793,67.19,56.35,17.87,2987.0,62.15,0,severe
COMP-01,2026-01-30 22:00:00,3.218,66.26,52.8,17.48,3030.0,59.76,0,severe
COMP-01,2026-01-30 23:00:00,2.814,67.72,54.78,16.75,2995.0,58.37,0,severe
COMP-01,2026-01-31 00:00:00,3.107,65.05,55.87,18.02,2999.0,62.32,0,severe
COMP-01,2026-01-31 01:00:00,2.993,63.36,55.07,18.45,3020.0,61.02,0,severe
